Song,Performer,0
Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,19
One Sweet Day,Mariah Carey & Boyz II Men,16
Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,16
Candle In The Wind 1997/Something About The Way You Look Tonight,Elton John,14
Macarena (Bayside Boys Mix),Los Del Rio,14
We Belong Together,Mariah Carey,14
Uptown Funk!,Mark Ronson Featuring Bruno Mars,14
I Gotta Feeling,The Black Eyed Peas,14
I'll Make Love To You,Boyz II Men,14
I Will Always Love You,Whitney Houston,14
"End Of The Road (From ""Boomerang"")",Boyz II Men,13
The Boy Is Mine,Brandy & Monica,13
Lose Yourself,Eminem,12
Yeah!,Usher Featuring Lil Jon & Ludacris,12
Smooth,Santana Featuring Rob Thomas,12
See You Again,Wiz Khalifa Featuring Charlie Puth,12
Shape Of You,Ed Sheeran,12
Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,12
Boom Boom Pow,The Black Eyed Peas,12
Closer,The Chainsmokers Featuring Halsey,12
I Swear,All-4-One,11
The Box,Roddy Ricch,11
Independent Women Part I,Destiny's Child,11
Un-Break My Heart,Toni Braxton,11
I'll Be Missing You,Puff Daddy & Faith Evans Featuring 112,11
God's Plan,Drake,11
You Light Up My Life,Debby Boone,10
We Found Love,Rihanna Featuring Calvin Harris,10
Happy,Pharrell Williams,10
Low,Flo Rida Featuring T-Pain,10
Gold Digger,Kanye West Featuring Jamie Foxx,10
In My Feelings,Drake,10
Maria Maria,Santana Featuring The Product G&B,10
Physical,Olivia Newton-John,10
Dilemma,Nelly Featuring Kelly Rowland,10
Irreplaceable,Beyonce,10
One Dance,Drake Featuring WizKid & Kyla,10
Hello,Adele,10
Foolish,Ashanti,10
Candy Shop,50 Cent Featuring Olivia,9
Call Me Maybe,Carly Rae Jepsen,9
Baby Boy,Beyonce Featuring Sean Paul,9
Work,Rihanna Featuring Drake,9
One More Night,Maroon 5,9
Bette Davis Eyes,Kim Carnes,9
TiK ToK,Ke$ha,9
In Da Club,50 Cent,9
Royals,Lorde,9
Hey Jude,The Beatles,9
Mack The Knife,Bobby Darin,9
Hey Ya!,OutKast,9
Let Me Love You,Mario,9
Endless Love,Diana Ross & Lionel Richie,9
"The Theme From ""A Summer Place""",Percy Faith And His Orchestra,9
7 Rings,Ariana Grande,8
Nice For What,Drake,8
Jump,Kris Kross,8
Drivers License,Olivia Rodrigo,8
Dreamlover,Mariah Carey,8
Burn,Usher,8
Crazy In Love,Beyonce Featuring Jay Z,8
Somebody That I Used To Know,Gotye Featuring Kimbra,8
That's The Way Love Goes,Janet Jackson,8
Mood,24kGoldn Featuring iann dior,8
Fantasy,Mariah Carey,8
All About That Bass,Meghan Trainor,8
Tha Crossroads,Bone Thugs-N-Harmony,8
Every Breath You Take,The Police,8
Night Fever,Bee Gees,8
Tonight's The Night (Gonna Be Alright),Rod Stewart,8
Rockstar,Post Malone Featuring 21 Savage,8
Blank Space,Taylor Swift,7
"Thank U, Next",Ariana Grande,7
Girls Like You,Maroon 5 Featuring Cardi B,7
Take A Bow,Madonna,7
I'm A Believer,The Monkees,7
Waterfalls,TLC,7
This Is How We Do It,Montell Jordan,7
Informer,Snow,7
Truth Hurts,Lizzo,7
Hot In Herre,Nelly,7
Black Or White,Michael Jackson,7
Billie Jean,Michael Jackson,7
Black Beatles,Rae Sremmurd Featuring Gucci Mane,7
Fancy,Iggy Azalea Featuring Charli XCX,7
(Everything I Do) I Do It For You,Bryan Adams,7
Goodies,Ciara Featuring Petey Pablo,7
Umbrella,Rihanna Featuring Jay-Z,7
Ebony And Ivory,Paul McCartney And Stevie Wonder,7
I Want To Hold Your Hand,The Beatles,7
Shadow Dancing,Andy Gibb,7
Crank That (Soulja Boy),Soulja Boy Tell'em,7
All For You,Janet,7
I Heard It Through The Grapevine,Marvin Gaye,7
Love The Way You Lie,Eminem Featuring Rihanna,7
Tossin' And Turnin',Bobby Lewis,7
I Love Rock 'N Roll,Joan Jett & the Blackhearts,7
Whatever You Like,T.I.,7
Rockstar,DaBaby Featuring Roddy Ricch,7
Rolling In The Deep,Adele,7
